,i,j,clusters
1312,10,32,4
1313,10,33,4
1314,10,34,5
1315,10,35,5
1316,10,36,4
1317,10,37,4
1318,10,38,4
1319,10,39,4
1320,10,40,4
1321,10,41,4
1322,10,42,4
1323,10,43,4
1324,10,44,4
1325,10,45,4
1326,10,46,5
1327,10,47,5
1328,10,48,5
1329,10,49,5
1330,10,50,5
1331,10,51,5
1332,10,52,5
1333,10,53,5
1334,10,54,4
1335,10,55,5
1336,10,56,6
1337,10,57,6
1338,10,58,4
1339,10,59,4
1340,10,60,4
1341,10,61,3
1342,10,62,3
1343,10,63,4
1344,10,64,4
1345,10,65,4
1346,10,66,4
1347,10,67,4
1348,10,68,4
1349,10,69,4
1350,10,70,5
1351,10,71,5
1352,10,72,5
1353,10,73,5
1354,10,74,4
1355,10,75,4
1356,10,76,4
1357,10,77,4
1358,10,78,4
1359,10,79,4
1360,10,80,4
1361,10,81,4
1362,10,82,4
1363,10,83,4
1364,10,84,4
1365,10,85,4
1366,10,86,4
1367,10,87,4
1368,10,88,4
1369,10,89,4
1370,10,90,4
1371,10,91,4
1372,10,92,4
1373,10,93,4
1374,10,94,4
1375,10,95,4
1376,10,96,4
1377,10,97,4
1378,10,98,4
1379,10,99,4
1380,10,100,4
1381,10,101,4
1382,10,102,4
1383,10,103,4
1384,10,104,4
1385,10,105,4
1386,10,106,4
1387,10,107,3
1388,10,108,2
1389,10,109,2
1390,10,110,2
1391,10,111,2
1392,10,112,2
1393,10,113,2
1394,10,114,2
1395,10,115,2
1396,10,116,2
1397,10,117,2
1398,10,118,2
1399,10,119,2
1400,10,120,2
1401,10,121,2
1402,10,122,2
1403,10,123,2
1404,10,124,2
1405,10,125,2
1406,10,126,2
1407,10,127,2
1408,11,0,2
1409,11,1,2
1410,11,2,2
1411,11,3,2
1412,11,4,2
1413,11,5,2
1414,11,6,2
1415,11,7,2
1416,11,8,2
1417,11,9,2
1418,11,10,2
1419,11,11,2
1420,11,12,2
1421,11,13,2
1422,11,14,2
1423,11,15,2
1424,11,16,2
1425,11,17,2
1426,11,18,2
1427,11,19,2
1428,11,20,2
1429,11,21,4
1430,11,22,4
1431,11,23,4
1432,11,24,4
1433,11,25,4
1434,11,26,4
1435,11,27,4
1436,11,28,4
1437,11,29,4
1438,11,30,4
1439,11,31,4
1440,11,32,4
1441,11,33,4
1442,11,34,5
1443,11,35,5
1444,11,36,4
1445,11,37,4
1446,11,38,4
1447,11,39,4
1448,11,40,4
1449,11,41,4
1450,11,42,4
1451,11,43,4
1452,11,44,4
1453,11,45,4
1454,11,46,5
1455,11,47,5
1456,11,48,5
1457,11,49,5
1458,11,50,5
1459,11,51,5
1460,11,52,5
1461,11,53,5
1462,11,54,5
1463,11,55,4
1464,11,56,3
1465,11,57,4
