,i,j,clusters
1316,18,56,4
1317,18,57,4
1318,18,58,1
1319,18,59,1
1320,18,60,1
1321,18,61,4
1322,18,62,1
1323,18,63,3
1324,18,64,3
1325,18,65,3
1326,18,66,3
1327,18,67,3
1328,18,68,1
1329,18,69,2
1330,19,0,2
1331,19,1,2
1332,19,2,1
1333,19,3,3
1334,19,4,3
1335,19,5,3
1336,19,6,3
1337,19,7,3
1338,19,8,3
1339,19,9,1
1340,19,10,1
1341,19,11,4
1342,19,12,1
1343,19,13,1
1344,19,14,1
1345,19,15,1
1346,19,16,1
1347,19,17,1
1348,19,18,4
1349,19,19,1
1350,19,20,4
1351,19,21,4
1352,19,22,4
1353,19,23,4
1354,19,24,4
1355,19,25,4
1356,19,26,4
1357,19,27,4
1358,19,28,7
1359,19,29,4
1360,19,30,4
1361,19,31,4
1362,19,32,4
1363,19,33,4
1364,19,34,4
1365,19,35,4
1366,19,36,4
1367,19,37,4
1368,19,38,4
1369,19,39,4
1370,19,40,4
1371,19,41,1
1372,19,42,1
1373,19,43,4
1374,19,44,4
1375,19,45,4
1376,19,46,4
1377,19,47,4
1378,19,48,4
1379,19,49,4
1380,19,50,4
1381,19,51,4
1382,19,52,4
1383,19,53,4
1384,19,54,4
1385,19,55,4
1386,19,56,4
1387,19,57,1
1388,19,58,4
1389,19,59,1
1390,19,60,1
1391,19,61,1
1392,19,62,4
1393,19,63,3
1394,19,64,3
1395,19,65,3
1396,19,66,3
1397,19,67,3
1398,19,68,1
1399,19,69,2
1400,20,0,2
1401,20,1,2
1402,20,2,3
1403,20,3,3
1404,20,4,3
1405,20,5,3
1406,20,6,3
1407,20,7,3
1408,20,8,3
1409,20,9,4
1410,20,10,4
1411,20,11,1
1412,20,12,7
1413,20,13,4
1414,20,14,1
1415,20,15,4
1416,20,16,6
1417,20,17,6
1418,20,18,4
1419,20,19,4
1420,20,20,4
1421,20,21,4
1422,20,22,4
1423,20,23,4
1424,20,24,4
1425,20,25,4
1426,20,26,4
1427,20,27,7
1428,20,28,1
1429,20,29,4
1430,20,30,4
1431,20,31,4
1432,20,32,4
1433,20,33,4
1434,20,34,4
1435,20,35,1
1436,20,36,4
1437,20,37,4
1438,20,38,4
1439,20,39,4
1440,20,40,1
1441,20,41,1
1442,20,42,1
1443,20,43,4
1444,20,44,4
1445,20,45,4
1446,20,46,4
1447,20,47,1
1448,20,48,5
1449,20,49,1
1450,20,50,4
1451,20,51,4
1452,20,52,4
1453,20,53,4
1454,20,54,4
1455,20,55,4
1456,20,56,4
1457,20,57,1
1458,20,58,6
1459,20,59,1
1460,20,60,4
1461,20,61,1
1462,20,62,4
1463,20,63,1
1464,20,64,3
1465,20,65,3
1466,20,66,3
1467,20,67,3
1468,20,68,1
1469,20,69,2
1470,21,0,2
1471,21,1,2
1472,21,2,3
1473,21,3,3
1474,21,4,3
1475,21,5,3
1476,21,6,3
1477,21,7,3
1478,21,8,1
1479,21,9,1
1480,21,10,3
1481,21,11,1
1482,21,12,7
1483,21,13,1
1484,21,14,6
1485,21,15,4
1486,21,16,4
1487,21,17,4
1488,21,18,4
1489,21,19,4
1490,21,20,7
1491,21,21,4
1492,21,22,4
1493,21,23,4
1494,21,24,4
1495,21,25,4
1496,21,26,4
1497,21,27,1
1498,21,28,1
1499,21,29,1
1500,21,30,4
1501,21,31,4
1502,21,32,4
1503,21,33,4
1504,21,34,4
1505,21,35,4
1506,21,36,4
1507,21,37,4
1508,21,38,1
1509,21,39,1
1510,21,40,1
1511,21,41,1
1512,21,42,4
1513,21,43,4
1514,21,44,1
1515,21,45,5
1516,21,46,4
1517,21,47,6
1518,21,48,4
1519,21,49,4
1520,21,50,4
1521,21,51,4
1522,21,52,7
1523,21,53,4
1524,21,54,4
1525,21,55,4
1526,21,56,4
1527,21,57,4
1528,21,58,5
1529,21,59,1
1530,21,60,4
1531,21,61,1
1532,21,62,1
1533,21,63,1
1534,21,64,3
1535,21,65,3
1536,21,66,3
1537,21,67,3
1538,21,68,1
1539,21,69,2
1540,22,0,2
1541,22,1,2
1542,22,2,3
1543,22,3,3
1544,22,4,3
1545,22,5,3
1546,22,6,3
1547,22,7,3
1548,22,8,1
1549,22,9,1
1550,22,10,3
1551,22,11,1
1552,22,12,4
1553,22,13,6
1554,22,14,4
1555,22,15,4
1556,22,16,4
1557,22,17,4
1558,22,18,4
1559,22,19,4
1560,22,20,4
1561,22,21,4
1562,22,22,4
1563,22,23,4
1564,22,24,4
1565,22,25,4
1566,22,26,4
1567,22,27,4
1568,22,28,7
1569,22,29,1
1570,22,30,1
1571,22,31,1
1572,22,32,4
1573,22,33,4
1574,22,34,4
1575,22,35,1
1576,22,36,4
1577,22,37,1
1578,22,38,1
1579,22,39,1
1580,22,40,1
1581,22,41,4
1582,22,42,4
1583,22,43,1
1584,22,44,6
1585,22,45,4
1586,22,46,1
1587,22,47,4
1588,22,48,4
1589,22,49,4
1590,22,50,4
1591,22,51,4
1592,22,52,4
1593,22,53,4
1594,22,54,4
1595,22,55,4
1596,22,56,4
1597,22,57,4
1598,22,58,4
1599,22,59,4
1600,22,60,1
1601,22,61,1
1602,22,62,1
1603,22,63,4
1604,22,64,1
1605,22,65,3
1606,22,66,3
1607,22,67,3
1608,22,68,1
1609,22,69,2
1610,23,0,2
1611,23,1,2
1612,23,2,3
1613,23,3,3
1614,23,4,3
1615,23,5,3
1616,23,6,1
1617,23,7,4
1618,23,8,4
1619,23,9,1
1620,23,10,1
1621,23,11,1
1622,23,12,1
1623,23,13,4
1624,23,14,4
1625,23,15,4
1626,23,16,4
1627,23,17,1
1628,23,18,7
1629,23,19,4
1630,23,20,4
1631,23,21,4
1632,23,22,4
1633,23,23,4
1634,23,24,4
1635,23,25,7
1636,23,26,4
1637,23,27,4
1638,23,28,4
1639,23,29,1
1640,23,30,1
1641,23,31,1
1642,23,32,1
1643,23,33,1
1644,23,34,1
1645,23,35,1
1646,23,36,1
1647,23,37,1
1648,23,38,1
1649,23,39,1
1650,23,40,4
1651,23,41,1
1652,23,42,1
1653,23,43,6
1654,23,44,4
1655,23,45,4
1656,23,46,6
1657,23,47,4
1658,23,48,4
1659,23,49,4
1660,23,50,4
